epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3941.05,1.1295,0.97447,1.2652,0.80776,0.71464,0.79871,0.51764,1.18237,0.87649,1.33191,0.0008516,0.0008516,0.0008516
60,4007.81,1.14245,0.95726,1.25558,0.83893,0.70645,0.80132,0.51432,1.19369,0.88305,1.34014,0.0008318,0.0008318,0.0008318
61,4074.67,1.12742,0.9634,1.2531,0.82783,0.70878,0.7994,0.5174,1.16881,0.88055,1.32354,0.000812,0.000812,0.000812
62,4141.33,1.11573,0.95313,1.25475,0.84371,0.6969,0.79784,0.51458,1.18421,0.87465,1.33029,0.0007922,0.0007922,0.0007922
63,4208.17,1.11477,0.94915,1.24695,0.83415,0.69429,0.79131,0.50813,1.19048,0.86523,1.3426,0.0007724,0.0007724,0.0007724
64,4275.13,1.11836,0.9431,1.25415,0.83979,0.70083,0.80281,0.51934,1.18379,0.87021,1.31666,0.0007526,0.0007526,0.0007526
65,4341.9,1.09152,0.92953,1.23872,0.81934,0.72394,0.8077,0.52419,1.1792,0.85345,1.32473,0.0007328,0.0007328,0.0007328
66,4408.4,1.10665,0.93477,1.2412,0.82613,0.72656,0.80794,0.52106,1.19096,0.851,1.33689,0.000713,0.000713,0.000713
67,4474.47,1.09364,0.92069,1.2339,0.83715,0.70824,0.80811,0.52228,1.18673,0.85042,1.33761,0.0006932,0.0006932,0.0006932
68,4540.28,1.09251,0.92337,1.23284,0.83618,0.72351,0.80951,0.52843,1.15505,0.86134,1.30497,0.0006734,0.0006734,0.0006734
69,4606.37,1.10118,0.91201,1.22761,0.84673,0.71042,0.81678,0.5325,1.17383,0.83564,1.30938,0.0006536,0.0006536,0.0006536
70,4672.72,1.07833,0.90239,1.22273,0.84276,0.71757,0.8107,0.5287,1.17243,0.84185,1.32588,0.0006338,0.0006338,0.0006338
71,4738.74,1.07486,0.88597,1.22016,0.85751,0.71042,0.81301,0.53658,1.15634,0.83461,1.30594,0.000614,0.000614,0.000614
72,4804.85,1.07317,0.88451,1.22164,0.82897,0.72927,0.80971,0.53012,1.15051,0.83231,1.3047,0.0005942,0.0005942,0.0005942
73,4870.93,1.07257,0.89132,1.21989,0.83635,0.71696,0.80581,0.52694,1.15789,0.84468,1.30839,0.0005744,0.0005744,0.0005744
74,4937.02,1.06798,0.88159,1.21684,0.84049,0.72307,0.81375,0.53282,1.16222,0.82454,1.30731,0.0005546,0.0005546,0.0005546
75,5002.94,1.06769,0.8818,1.21191,0.8422,0.72385,0.81321,0.5304,1.17545,0.82509,1.32605,0.0005348,0.0005348,0.0005348
76,5069.44,1.05424,0.86684,1.21526,0.83949,0.73136,0.81477,0.53598,1.15917,0.82629,1.30505,0.000515,0.000515,0.000515
77,5135.72,1.05906,0.86692,1.21245,0.84662,0.72918,0.81318,0.53507,1.15605,0.82187,1.30864,0.0004952,0.0004952,0.0004952
78,5201.79,1.05233,0.86514,1.2078,0.83086,0.72263,0.80443,0.52921,1.15949,0.84506,1.30975,0.0004754,0.0004754,0.0004754
79,5267.9,1.04511,0.85542,1.20169,0.83638,0.7245,0.81184,0.53312,1.16034,0.831,1.31503,0.0004556,0.0004556,0.0004556
80,5334.31,1.04742,0.86247,1.20129,0.83459,0.72002,0.80599,0.53201,1.16081,0.84162,1.31453,0.0004358,0.0004358,0.0004358
81,5400.65,1.02883,0.846,1.19029,0.82099,0.73604,0.81667,0.53818,1.1445,0.82453,1.29973,0.000416,0.000416,0.000416
82,5467.05,1.02869,0.83586,1.19357,0.85206,0.71837,0.81156,0.53643,1.14859,0.81819,1.30787,0.0003962,0.0003962,0.0003962
83,5533.08,1.02544,0.82978,1.18845,0.84017,0.72874,0.81109,0.53367,1.15729,0.82975,1.30575,0.0003764,0.0003764,0.0003764
84,5598.85,1.01383,0.81778,1.18341,0.84618,0.72454,0.81129,0.53143,1.16296,0.82307,1.31448,0.0003566,0.0003566,0.0003566
85,5665.15,1.02049,0.83098,1.18661,0.82386,0.73841,0.81232,0.53162,1.15914,0.81969,1.32213,0.0003368,0.0003368,0.0003368
86,5731.45,1.03173,0.83062,1.18958,0.83664,0.73179,0.81317,0.53625,1.15585,0.81451,1.31542,0.000317,0.000317,0.000317
87,5797.52,0.99773,0.79876,1.17457,0.83395,0.73814,0.81363,0.53442,1.15708,0.80842,1.31647,0.0002972,0.0002972,0.0002972
88,5863.94,1.01661,0.8204,1.18209,0.83077,0.74503,0.81501,0.53602,1.15934,0.80865,1.31281,0.0002774,0.0002774,0.0002774
89,5930.57,1.01111,0.80842,1.17668,0.85177,0.74051,0.81963,0.54049,1.15356,0.80512,1.30876,0.0002576,0.0002576,0.0002576
90,5996.77,0.9945,0.80269,1.1669,0.8337,0.74749,0.81861,0.543,1.14969,0.80371,1.3102,0.0002378,0.0002378,0.0002378
91,6064.18,0.94163,0.68328,1.13678,0.84031,0.73136,0.81454,0.53572,1.15605,0.81499,1.31971,0.000218,0.000218,0.000218
92,6129.88,0.92302,0.66142,1.12462,0.83738,0.74106,0.81724,0.53567,1.15829,0.80945,1.32262,0.0001982,0.0001982,0.0001982
93,6195.49,0.92244,0.6496,1.11563,0.87221,0.71735,0.81956,0.54094,1.15263,0.79995,1.32327,0.0001784,0.0001784,0.0001784
94,6261.03,0.90542,0.6385,1.11534,0.84475,0.72615,0.81277,0.53709,1.15494,0.81396,1.32542,0.0001586,0.0001586,0.0001586
95,6326.64,0.90685,0.63343,1.11573,0.85977,0.72193,0.81591,0.53772,1.15532,0.813,1.32505,0.0001388,0.0001388,0.0001388
96,6392.51,0.88537,0.61964,1.09629,0.85319,0.72232,0.81471,0.53606,1.15696,0.81706,1.32643,0.000119,0.000119,0.000119
97,6458.34,0.88825,0.61668,1.0976,0.86427,0.72202,0.81478,0.53831,1.15442,0.8169,1.32757,9.92e-05,9.92e-05,9.92e-05
98,6524.25,0.88863,0.61858,1.10004,0.84268,0.74051,0.81628,0.54003,1.15963,0.81003,1.33251,7.94e-05,7.94e-05,7.94e-05
99,6589.86,0.88441,0.6144,1.09811,0.8558,0.73508,0.81795,0.54221,1.15663,0.81524,1.32588,5.96e-05,5.96e-05,5.96e-05
100,6655.63,0.88479,0.61202,1.09937,0.861,0.73528,0.81567,0.54002,1.15627,0.81717,1.32696,3.98e-05,3.98e-05,3.98e-05
