epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4729.59,1.28637,1.00916,1.28845,0.77937,0.67261,0.75667,0.47449,1.24965,0.88013,1.2615,0.0004358,0.0004358,0.0004358
81,4785.69,1.27313,1.0011,1.27709,0.77676,0.67895,0.75819,0.47681,1.24686,0.86968,1.25683,0.000416,0.000416,0.000416
82,4841.53,1.26032,0.99484,1.27696,0.79698,0.67169,0.7605,0.47869,1.2391,0.86696,1.25007,0.0003962,0.0003962,0.0003962
83,4897.76,1.27669,0.99412,1.28065,0.79455,0.67041,0.7608,0.47949,1.24055,0.86519,1.25145,0.0003764,0.0003764,0.0003764
84,4956.17,1.27433,0.9876,1.27944,0.78948,0.67909,0.76289,0.48289,1.23456,0.86151,1.25039,0.0003566,0.0003566,0.0003566
85,5017.79,1.2549,0.98139,1.26865,0.79919,0.67326,0.7628,0.48223,1.23185,0.85789,1.24733,0.0003368,0.0003368,0.0003368
86,5082.39,1.26946,0.9832,1.27215,0.79794,0.67853,0.76615,0.48472,1.23046,0.85428,1.24621,0.000317,0.000317,0.000317
87,5147.39,1.26019,0.97054,1.27243,0.80268,0.67674,0.76682,0.48579,1.23007,0.85064,1.24674,0.0002972,0.0002972,0.0002972
88,5204.14,1.24232,0.95184,1.26215,0.79696,0.6855,0.76653,0.48725,1.22528,0.85119,1.24299,0.0002774,0.0002774,0.0002774
89,5267.89,1.24946,0.96171,1.26808,0.80107,0.68322,0.76653,0.488,1.22059,0.84447,1.24054,0.0002576,0.0002576,0.0002576
90,5321.95,1.24206,0.9469,1.25504,0.80625,0.68308,0.77011,0.48961,1.21889,0.8411,1.23963,0.0002378,0.0002378,0.0002378
91,5400.53,1.24647,0.88452,1.26084,0.80175,0.67539,0.76408,0.4848,1.22608,0.84274,1.24204,0.000218,0.000218,0.000218
92,5454.84,1.22848,0.87298,1.25018,0.80612,0.67668,0.76551,0.48799,1.22011,0.84318,1.23995,0.0001982,0.0001982,0.0001982
93,5508.77,1.21848,0.85566,1.25043,0.80372,0.67895,0.76882,0.49087,1.21922,0.83535,1.23956,0.0001784,0.0001784,0.0001784
94,5562.44,1.20879,0.84835,1.23959,0.79864,0.68436,0.77029,0.49402,1.21379,0.83101,1.23665,0.0001586,0.0001586,0.0001586
95,5616.22,1.20427,0.83713,1.23785,0.80475,0.68449,0.77181,0.49465,1.21438,0.82863,1.23511,0.0001388,0.0001388,0.0001388
96,5674.64,1.20052,0.82847,1.23369,0.81133,0.6808,0.77325,0.49647,1.21193,0.82431,1.23379,0.000119,0.000119,0.000119
97,5728.6,1.19984,0.82708,1.2356,0.80618,0.68834,0.77449,0.49748,1.21022,0.82027,1.2335,9.92e-05,9.92e-05,9.92e-05
98,5787.55,1.19328,0.82295,1.22789,0.80897,0.68461,0.7748,0.49725,1.20992,0.82127,1.23174,7.94e-05,7.94e-05,7.94e-05
99,5843.24,1.20092,0.82716,1.23489,0.81011,0.68666,0.77441,0.49834,1.20598,0.82126,1.22988,5.96e-05,5.96e-05,5.96e-05
100,5899.18,1.19223,0.81483,1.22924,0.80998,0.68934,0.77479,0.49901,1.20367,0.82016,1.2306,3.98e-05,3.98e-05,3.98e-05
